################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   6.0735320762341102E-02   2.5472567508002847E-01   1.3840514778221333E-01   2.4576250700859757E-02
         1          2   0.0000000000000000E+00   6.6408109072818133E-02   1.6641404104366338E-03   4.9311081431908030E-03
         1          3   0.0000000000000000E+00   7.2380035094909881E-02   1.7135538958499160E-03   5.3749240473418922E-03
         1          4   1.9594965644037143E-01   3.4500388734360399E-01   2.6142160214073817E-01   2.2592744217372260E-02
         1          5   1.8837139093301189E-01   7.0810336305531507E-01   4.0407478229376748E-01   7.7832792877314219E-02
         1          6   0.0000000000000000E+00   2.1040695966543679E-01   9.0991967159537602E-03   2.2345555959016557E-02
         1          7   0.0000000000000000E+00   2.1353335005763854E-01   8.8874508354332415E-03   2.2545309560193044E-02
         1          8   3.1170706369887324E-01   5.9475168366074382E-01   4.4906824606828855E-01   5.5290804255589923E-02
         1          9   3.0946312605074822E-01   1.3467838021011793E+00   8.1632197391736938E-01   1.7168456787514230E-01
         1         10   0.0000000000000000E+00   4.8190371562238793E-01   3.3963278783478705E-02   6.6875496799421896E-02
         1         11   0.0000000000000000E+00   4.7579878131881748E-01   3.2430245951419530E-02   6.5115086973077607E-02
         1         12   2.9512751636898454E-01   8.2749174181414153E-01   5.6009586124738175E-01   9.1885738669761463E-02
         1         13   3.6770241552470712E-01   1.9848040897302028E+00   1.2012825785012582E+00   2.7408207039007049E-01
         1         14   0.0000000000000000E+00   7.7386126344752681E-01   8.8832869137621243E-02   1.3662331984075141E-01
         1         15   0.0000000000000000E+00   7.4102366345377813E-01   8.4758283155267802E-02   1.3238147910267178E-01
         1         16   1.9951389317334622E-01   1.0140694249113560E+00   6.0792702057139758E-01   1.3007225048449372E-01
         1         17   3.9605945558288330E-01   2.2818190641216587E+00   1.3665954552400843E+00   3.3816431881396730E-01
         1         18   0.0000000000000000E+00   9.0954852823084442E-01   1.6634753814513989E-01   1.9978304371527644E-01
         1         19   0.0000000000000000E+00   8.7308250103065110E-01   1.6011749552608862E-01   1.9509576311760526E-01
         1         20   1.6680371033096833E-01   1.1404456593882637E+00   6.5293129300425057E-01   1.6592128145610696E-01
         1         21   4.1587695835545729E-01   2.1268306313437892E+00   1.2608728567531007E+00   3.3077198606256553E-01
         1         22   0.0000000000000000E+00   7.9600847729060809E-01   2.2612088434720287E-01   2.1906687560497615E-01
         1         23   0.0000000000000000E+00   7.8363768192101535E-01   2.1959282895414245E-01   2.1517411788216922E-01
         1         24   1.9839249000396317E-01   1.1091875607119457E+00   6.3653197044163268E-01   1.6955462004329444E-01
         1         25   3.3881710927777281E-01   1.6344381037554876E+00   9.5295531317102600E-01   2.5721636561125782E-01
         1         26   0.0000000000000000E+00   5.7487234975344881E-01   2.2487587728080513E-01   1.8432784974694313E-01
         1         27   0.0000000000000000E+00   5.7339293103632882E-01   2.1970457098390170E-01   1.8150472076582580E-01
         1         28   1.7606434923959796E-01   8.8323260800739378E-01   4.9430541083487922E-01   1.3504782127670881E-01
         1         29   2.1428701009104362E-01   1.0007993597212190E+00   5.7604643799258293E-01   1.5786749523589436E-01
         1         30   0.0000000000000000E+00   3.3756362665379747E-01   1.6441938799910533E-01   1.1877962745646573E-01
         1         31   0.0000000000000000E+00   3.4007170130287556E-01   1.6140236576271805E-01   1.1741301868050200E-01
         1         32   1.0076897235771322E-01   5.2437297999336552E-01   2.9354206681052769E-01   8.2717463544139544E-02
         1         33   1.0994324711431180E-01   4.9451194579376240E-01   2.7059472025506276E-01   7.4857863502638886E-02
         1         34   0.0000000000000000E+00   1.6349278601584230E-01   8.8555425074397898E-02   5.7940148749462024E-02
         1         35   0.0000000000000000E+00   1.6281430801336375E-01   8.7400065691309606E-02   5.7625223132519429E-02
         1         36   4.6877855186595915E-02   2.5759077096499111E-01   1.3458681776792578E-01   3.8678922686097843E-02
