################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.3087024941241535E-02   8.1508573941743698E-02   3.2809773366201854E-02   6.8397469173540381E-03
         1          2   0.0000000000000000E+00   1.7316181936566730E-02   1.3053276400287238E-04   6.6837368337948374E-04
         1          3   1.2159686120075112E-01   1.9921992602501915E-01   1.5604817430246823E-01   9.6510630109263324E-03
         1          4   1.0585796895048097E-01   4.5726061230585535E-01   2.0207716483035401E-01   3.6392305319779855E-02
         1          5   0.0000000000000000E+00   1.5645893214146495E-01   2.4228259100560548E-03   9.2581671296824673E-03
         1          6   2.9623864496648544E-01   5.1323892737983234E-01   3.7683787998843971E-01   3.9247106104645754E-02
         1          7   2.5793520116518759E-01   1.1045041783208360E+00   5.8992837880936611E-01   1.2915794797920963E-01
         1          8   0.0000000000000000E+00   6.5251130027726822E-01   2.1351100457136445E-02   5.9899788244957959E-02
         1          9   2.3581953600100794E-01   6.4149449199344433E-01   4.3481926488433337E-01   8.3347112194930198E-02
         1         10   2.5499519377493435E-01   1.7903317013231124E+00   9.7116907561947385E-01   2.3859376767121288E-01
         1         11   0.0000000000000000E+00   1.3543512495717285E+00   9.8000225956047085E-02   1.9334618865035602E-01
         1         12   7.9770098254738173E-02   7.8292019453891892E-01   3.9962068146638591E-01   1.0482837545414692E-01
         1         13   2.7988194263202582E-01   1.9916455790683190E+00   1.0865238588071595E+00   2.9191316814350804E-01
         1         14   0.0000000000000000E+00   1.5607639586958879E+00   2.5623603574254006E-01   3.4610542149077744E-01
         1         15   9.2096412095489064E-02   1.0401569840875078E+00   4.9323910261934006E-01   1.4776859870573728E-01
         1         16   2.8518757514608289E-01   1.8204097912601520E+00   9.7847943516168878E-01   2.7392073139226158E-01
         1         17   0.0000000000000000E+00   1.2815563184703851E+00   4.0354859471086790E-01   3.9325194152030790E-01
         1         18   1.6829273693636959E-01   1.0052236603476972E+00   5.3264574755162664E-01   1.4938653248478048E-01
         1         19   2.7623026373773735E-01   1.2984265573194698E+00   7.0474225957012571E-01   1.9804498639837703E-01
         1         20   0.0000000000000000E+00   8.5987757463390135E-01   3.9616324634150379E-01   3.0743393630967136E-01
         1         21   1.2142865288438301E-01   7.2932301484813888E-01   3.6803134196203086E-01   1.0759043135446493E-01
         1         22   1.3325738764283640E-01   6.9527713640455813E-01   3.6548872986581893E-01   1.0358360240005204E-01
         1         23   0.0000000000000000E+00   4.5488552624844764E-01   2.5121085031428897E-01   1.6650131637028695E-01
         1         24   4.6788244712994663E-02   3.6685388198874008E-01   1.7781333613726835E-01   5.4302051841331217E-02
         1         25   5.3029405106699672E-02   2.7734239726436372E-01   1.3153929705411929E-01   3.7281253320036033E-02
         1         26   0.0000000000000000E+00   1.7574175369288059E-01   1.0425038113441404E-01   6.0970793646818143E-02
         1         27   1.6883655791713942E-02   1.5433414053329159E-01   6.4418641824032410E-02   1.9856173927012225E-02
         1         28   9.7145552119801935E-03   7.3237090298192808E-02   3.1263225173213310E-02   8.8059687636083319E-03
         1         29   0.0000000000000000E+00   4.5783603070526625E-02   2.7033626122108152E-02   1.4266605235393153E-02
         1         30   3.6520008686782590E-03   4.0867110409619350E-02   1.5800712961812860E-02   4.8888609670372689E-03
         1         31   2.5340437711833374E-03   7.9506385781947644E-02   2.6162740633716937E-02   1.0950357126040769E-02
         1         32   0.0000000000000000E+00   3.2704231532443763E-02   3.3457236707557453E-03   4.3037004245144207E-03
         1         33   7.5208112597075095E-03   1.1264196604589544E-01   4.7177343041403336E-02   1.6852483945872354E-02
